elbo_loss_epoch,train_loss,train_elbo_loss,epoch,step,elbo_loss_step
1202.499755859375,1200.107177734375,1200.107177734375,0,38,
,,,1,49,343.236083984375
267.908447265625,267.68389892578125,267.68389892578125,1,77,
,,,2,99,94.84070587158203
109.48218536376953,109.32698822021484,109.32698822021484,2,116,
,,,3,149,28.641399383544922
35.53910827636719,35.512760162353516,35.512760162353516,3,155,
15.101730346679688,15.080812454223633,15.080812454223633,4,194,
,,,5,199,10.01699447631836
6.586186408996582,6.583284854888916,6.583284854888916,5,233,
,,,6,249,3.379328727722168
4.975314617156982,4.9765305519104,4.9765305519104,6,272,
,,,7,299,3.7679271697998047
4.340965270996094,4.335972309112549,4.335972309112549,7,311,
,,,8,349,2.3914835453033447
4.183497905731201,4.1842732429504395,4.1842732429504395,8,350,
3.6126692295074463,3.6098577976226807,3.6098577976226807,9,389,
,,,10,399,2.4830803871154785
3.451934576034546,3.449381113052368,3.449381113052368,10,428,
,,,11,449,3.8917460441589355
3.143354892730713,3.1417806148529053,3.1417806148529053,11,467,
,,,12,499,2.371187925338745
2.923551321029663,2.9219448566436768,2.9219448566436768,12,506,
2.7176079750061035,2.7163009643554688,2.7163009643554688,13,545,
,,,14,549,2.604881525039673
2.7032618522644043,2.702646493911743,2.702646493911743,14,584,
,,,15,599,3.465268611907959
2.7326626777648926,2.7329821586608887,2.7329821586608887,15,623,
,,,16,649,1.919472575187683
2.3244411945343018,2.324415922164917,2.324415922164917,16,662,
,,,17,699,2.242037296295166
2.409205675125122,2.4101932048797607,2.4101932048797607,17,701,
2.2923014163970947,2.2932534217834473,2.2932534217834473,18,740,
,,,19,749,2.1786410808563232
2.222464084625244,2.2220730781555176,2.2220730781555176,19,779,
,,,20,799,2.357171058654785
2.3363590240478516,2.3365883827209473,2.3365883827209473,20,818,
,,,21,849,2.1962738037109375
2.1643378734588623,2.163313388824463,2.163313388824463,21,857,
2.25127911567688,2.250685691833496,2.250685691833496,22,896,
,,,23,899,2.155670642852783
2.0944716930389404,2.094003438949585,2.094003438949585,23,935,
,,,24,949,1.9907350540161133
2.0128369331359863,2.015340566635132,2.015340566635132,24,974,
